연번,이름,나이,생년월일,주소,우편번호,직업명,휴대전화번호,이메일 주소,사용자명,카드번호,여권번호,차량번호
0,이숙자,24,1999-04-28,경상북도 화성시 지우최유면 796-32,38117,화가 및 조각가,010-4794-1618,ujunho@gmail.com,ujunho,8069-8020-8297-3176,T7609309,411우0834
1,박아름,40,1983-12-24,전라남도 수원시 팔달구 서윤임읍 191-2,90213,과수작물 재배원,010-0768-5952,jbag@naver.com,jbag,6131-9466-9242-9947,S6758943,62하5484
2,이경희,24,1999-12-26,광주광역시 성북구 상호양동 712-4,46924,마술사 및 기타 문화/ 예술 관련 종사자,010-0538-1812,yejin37@nate.com,yejin37,7464-4746-6577-2468,G7409899,307구4968
3,김성호,48,1975-01-23,전라남도 홍천군 지연김민읍 436,65861,과실 및 채소 관련 기계조작원,010-7346-2108,ogsun49@live.com,ogsun49,8688-7986-1188-9151,D3165439,95호1204
4,김영철,62,1961-07-09,경기도 증평군 병철김임리 726,76501,생명과학 연구원,010-6370-9985,junseogim@naver.com,junseogim,1618-1402-0139-0967,T4315411,892아2703
5,김준호,37,1986-11-12,제주특별자치도 평창군 지혜박정동 464-92,17369,낙농업관련 종사원,010-6375-0269,sonjeonghun@gmail.com,sonjeonghun,8288-5644-7258-3318,M3046244,18어9293
6,이현준,30,1993-03-18,서울특별시 관악구 현주강강리 326-33,01859,기자 및 논설위원,010-1295-8869,sangceol35@nate.com,sangceol35,1859-8897-5658-3148,D4236303,66바2582
7,신준혁,43,1980-05-31,광주광역시 성동구 영호이마을 646-4,36757,상점 판매원,010-6527-5906,seungmin56@dreamwiz.com,seungmin56,5515-1193-5219-5397,D3032542,989부6224
8,양경자,52,1971-09-24,전라북도 안산시 주원김손마을 119-6,38774,음향 및 녹음 기사,010-0065-1394,gangsanghyeon@hanmail.net,gangsanghyeon,6068-4746-5797-9426,G4029006,85아3553
9,이영희,43,1980-01-15,부산광역시 강북구 중수배김면 337-6,06254,물품 이동 장비 설치 및 정비원,010-4802-7291,nsin@nate.com,nsin,8598-7271-7936-0026,T1771574,316무8440
10,이현지,26,1997-06-19,대전광역시 양천구 하은김리 930-3,15684,생산 및 품질 관리 사무원,010-5905-7409,juweongim@nate.com,juweongim,8318-3866-6561-3966,T8333076,312해4714
11,류영수,28,1995-04-04,세종특별자치시 강북구 영식김마을 039-87,33889,문리 및 어학 강사,010-8341-7969,jimin51@hotmail.com,jimin51,5505-3935-4059-9498,G2302034,70구2133
12,고혜진,31,1992-09-02,전라북도 춘천시 예지손김읍 793,38725,기타 여가 및 스포츠 관련 종사원,010-5961-3507,jia20@hanmail.net,jia20,2200-4099-4855-7748,D7166332,14국5259
13,박진호,56,1967-08-09,광주광역시 강남구 준서김면 327-0,88773,운송관련 관리자,010-5719-1248,seonyeongnam@live.com,seonyeongnam,3741-1182-7676-0951,R7239359,430루5603
14,박채원,46,1977-11-01,경상남도 청주시 서원구 서준윤리 540-36,82325,중식 주방장 및 조리사,010-0386-6233,seunghyeon01@gmail.com,seunghyeon01,5120-1678-1090-8688,D4748998,212도9795
15,강성수,33,1990-08-27,인천광역시 강북구 주원임동 178-06,78366,인쇄기 조작원,010-5872-0037,li@gmail.com,li,9676-0850-0096-4537,R4713770,906공5063
16,오경수,30,1993-05-23,인천광역시 강북구 현지이리 469-3,20854,판금원,010-4928-6074,ibag@nate.com,ibag,6860-4867-1806-7639,G5908499,173부5244
17,이미정,51,1972-10-10,서울특별시 서초구 병철정박리 259-25,99253,용접원,010-2701-0205,minjaebag@dreamwiz.com,minjaebag,5322-2919-5581-2984,S8575867,83조0359
18,김지우,41,1982-12-14,제주특별자치도 계룡시 명숙이류읍 049-7,55144,법무사 및 집행관,010-7208-6404,yeongsig99@nate.com,yeongsig99,6215-8475-2815-1941,M1184791,14서2495
19,김예지,55,1968-02-26,인천광역시 관악구 하은고박읍 949-49,71511,제품 생산관련 관리자,010-7540-9891,gimeunyeong@gmail.com,gimeunyeong,8831-0741-3712-3619,S9905973,870육2901
20,류준호,55,1968-06-26,전라북도 부천시 원미구 경수김면 564-1,85552,매장계산원 및 요금정산원,010-7737-5082,gyeongsug59@naver.com,gyeongsug59,3083-5075-1960-5163,T8935404,19오2603
21,박옥자,59,1964-05-05,경상북도 옥천군 은지심박면 208-66,31011,기타 운송장비 정비원,010-1325-5202,jeongsug99@gmail.com,jeongsug99,3074-2072-8565-9412,M6900896,52조9221
22,황성진,59,1964-12-17,경기도 안양시 미숙김마을 693-98,25969,가사 도우미,010-0456-0320,jeongho99@gmail.com,jeongho99,3375-4178-9104-0006,M7463428,44루7839
